Number of Iterations, Number Of Values, Number Of Dimensions, Number of Clusters, Total Time (ms), Time Per Iteration (ms)
31,90,11,15,2908.03098679,93.8074511866
31,90,11,15,3313.92097473,106.900676604
31,90,11,15,2596.04215622,83.7432953619
31,90,11,15,3282.87410736,105.899164754
31,90,11,15,2746.20008469,88.587099506
31,180,11,15,4488.54279518,144.79170307
31,180,11,15,5260.31279564,169.687509537
31,180,11,15,4985.64100266,160.827129118
31,180,11,15,5811.11598015,187.455354198
31,180,11,15,4213.26994896,135.911933837
31,360,11,15,8129.34112549,262.2368105
31,360,11,15,8388.26107979,270.58906709
31,360,11,15,8169.77000237,263.540967818
31,360,11,15,8214.26391602,264.976255355
31,360,11,15,8092.97204018,261.063614199
31,720,11,15,15152.9219151,488.803932744
31,720,11,15,14516.2189007,468.265125828
31,720,11,15,13679.1398525,441.262575888
31,720,11,15,13962.3019695,450.396837727
31,720,11,15,13935.1429939,449.52074174
31,1440,11,15,28290.9860611,912.612453584
31,1440,11,15,28271.9039917,911.996902958
31,1440,11,15,27576.4389038,889.562545284
31,1440,11,15,30932.2519302,997.814578395
31,1440,11,15,32872.8940487,1060.41593705
31,2880,11,15,66763.6120319,2153.66490426
31,2880,11,15,62183.3689213,2005.91512649
31,2880,11,15,58662.3330116,1892.33332296
31,2880,11,15,59032.2518349,1904.26618822
31,2880,11,15,57246.1681366,1846.65058505
31,5760,11,15,107713.272095,3474.62168048
31,5760,11,15,113985.062122,3676.93748782
31,5760,11,15,122549.167156,3953.19894052
31,5760,11,15,122230.750799,3942.92744513
31,5760,11,15,113722.557068,3668.46958283
31,11520,11,15,212912.59408,6868.14819613
31,11520,11,15,243267.271042,7847.33132393
31,11520,11,15,226663.896799,7311.73860642
31,11520,11,15,236562.79397,7631.05787
31,11520,11,15,247465.054989,7982.74370932
31,23040,11,15,439342.684031,14172.3446461
31,23040,11,15,486213.969946,15684.3216112
31,23040,11,15,422395.419836,13625.6587044
31,23040,11,15,392410.616875,12658.406996
31,23040,11,15,384971.433878,12418.4333509
